Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C17, C18, C19, C2, C20, C3, C4, C5, C6, C7, C8, C9",805,18,0.1uF,C14663
"D1, D10, D11, D12, D13, D14, D17, D18, D19, D2, D20, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,18,D_Small,C241939
"D21, D22, D23, D24, D25, D26, D27, D28, D29, D30, D31, D32, D33, D34, D37, D38, D39, D40",LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,18,SK6812MINI-E,C5149201
J2,PinHeader_2x11_P2.54mm_Vertical,1,DNP,
R1,805,1,330,C2907002
"SW1, SW10, SW11, SW12, SW13, SW14, SW17, SW18, SW19, SW2, SW20, SW3, SW4, SW5, SW6, SW7, SW8, SW9",MX-Hotswap-1U,18,SW_Push,C49352235
